Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
2013,1121,Experian,Business Services & Supplies,Ireland,4483.0,654.0,7810.0,18047.0
2014,1154,Experian,Business Services & Supplies,Ireland,4782.0,652.1,8215.0,17991.0
2015,1147,Experian,Business Services & Supplies,Ireland,4892.0,818.1,8804.0,16661.0
2016,1154,Experian,Business Services & Supplies,Ireland,4656.0,674.0,7465.0,17374.0
2017,1122,Experian,Business Services & Supplies,Ireland,4542.0,829.3,7691.0,18899.0
2018,1245,Experian,Business Services & Supplies,Ireland,4287.0,821.2,7581.0,21591.0
2019,1209,Experian,Business Services & Supplies,Ireland,4834.0,804.0,7912.0,25789.0
2020,1156,Experian,Business Services & Supplies,Ireland,4991.0,726.6,8627.0,26982.0
2021,1135,Experian,Business Services & Supplies,Ireland,5170.0,658.0,9130.0,34284.0
2022,1212,Experian,Business Services & Supplies,Ireland,5944.0,985.4,10390.0,32217.0
